north,west,south,east,Ozone_S,SO2,time
37.7698659295,-122.4064857261,37.7680692998,-122.4042129288,53.7939123689,320.4716932466,1448138567.52523
37.7698659295,-122.3905761445,37.7680692998,-122.3883033472,52.8666043455,320.3951610958,1448138561.73942
37.7716625592,-122.4814872111,37.7698659295,-122.4792143585,45.8878988759,221.3709827366,1448138559.43092
37.7716625592,-122.4792143585,37.7698659295,-122.4769415059,45.8871796242,277.5748006092,1448138551.85279
37.7716625592,-122.4769415059,37.7698659295,-122.4746686533,46.5516176493,374.9280474164,1448138551.80286
37.7716625592,-122.4746686533,37.7698659295,-122.4723958007,44.5445664212,302.1869959102,1448138546.51999
37.7716625592,-122.4723958007,37.7698659295,-122.4701229481,36.0968755296,214.3022513669,1448138537.60276
37.7716625592,-122.4701229481,37.7698659295,-122.4678500955,48.4361197976,290.8166054217,1448138531.61182
37.7716625592,-122.4633043904,37.7698659295,-122.4610315378,31.9906906826,122.9087534485,1448138528.29195
37.7716625592,-122.4610315378,37.7698659295,-122.4587586852,29.0248425097,225.6284900241,1448138521.598
37.7716625592,-122.4587586852,37.7698659295,-122.4564858326,34.3856519682,327.4283210798,1448138516.64328
37.7716625592,-122.4564858326,37.7698659295,-122.45421298,37.1602654084,276.7765013297,1448138512.29841
37.7716625592,-122.45421298,37.7698659295,-122.4519401274,35.4330217161,234.187719446,1448138512.71051
37.7716625592,-122.4360301592,37.7698659295,-122.4337573066,46.9685396179,243.6412763294,1448138502.10977
37.7716625592,-122.4337573066,37.7698659295,-122.4314844541,45.869787205,307.427605858,1448138496.11521
37.7716625592,-122.4269387489,37.7698659295,-122.4246658963,47.1003703417,290.1243758159,1448138491.40938
37.7716625592,-122.4246658963,37.7698659295,-122.4223930437,48.945936052,295.7340819573,1448138488.07316
37.7716625592,-122.4223930437,37.7698659295,-122.4201201911,49.6627539776,295.482043311,1448138481.55502
37.7716625592,-122.4201201911,37.7698659295,-122.4178473385,48.0900337255,291.4538359626,1448138477.19512
37.7716625592,-122.4178473385,37.7698659295,-122.4155744859,48.5487698754,291.1173392229,1448138476.84546
37.7716625592,-122.4155744859,37.7698659295,-122.4133016333,51.9886566272,312.3208520794,1448138469.21037
37.7716625592,-122.4064830755,37.7698659295,-122.4042102229,46.5930288358,325.181364089,1448138461.69606
37.7716625592,-122.4042102229,37.7698659295,-122.4019373703,53.7463285927,322.0206516573,1448138456.76178
37.7716625592,-122.3905731074,37.7698659295,-122.3883002548,53.217150954,321.2656091884,1448138451.49603
37.7734591889,-122.4769405671,37.7716625592,-122.4746676593,43.429115897,290.3910264533,1448138447.77114
37.7734591889,-122.4723947514,37.7716625592,-122.4701218436,36.9510271477,283.9464636507,1448138441.69276
37.7734591889,-122.4701218436,37.7716625592,-122.4678489358,33.9590101271,272.2504751493,1448138438.01026
37.7734591889,-122.4678489358,37.7716625592,-122.465576028,37.3179860158,342.6966248864,1448138431.41555
37.7734591889,-122.465576028,37.7716625592,-122.4633031202,23.7639411444,328.7126203568,1448138428.16666
37.7734591889,-122.4633031202,37.7716625592,-122.4610302123,30.983585301,233.29026518,1448138421.42265
37.7734591889,-122.4610302123,37.7716625592,-122.4587573045,47.6475692532,287.5735571322,1448138416.3211
37.7734591889,-122.4542114889,37.7716625592,-122.4519385811,40.6682342886,240.2878284944,1448138416.61386
37.7734591889,-122.4519385811,37.7716625592,-122.4496656732,42.3773115018,225.7026898385,1448138406.29094
37.7734591889,-122.4496656732,37.7716625592,-122.4473927654,40.9948585413,303.0221305849,1448138403.69985
37.7734591889,-122.4473927654,37.7716625592,-122.4451198576,44.401680994,306.034869204,1448138397.33591
37.7734591889,-122.4451198576,37.7716625592,-122.4428469498,39.4218729375,292.6541220614,1448138391.52254
37.7734591889,-122.4428469498,37.7716625592,-122.440574042,41.4886581597,274.2324091084,1448138387.66561
37.7734591889,-122.440574042,37.7716625592,-122.4383011341,37.2916624762,397.1505087076,1448138377.03888
37.7734591889,-122.4383011341,37.7716625592,-122.4360282263,40.9142837836,172.8412737697,1448138376.27691
37.7734591889,-122.4360282263,37.7716625592,-122.4337553185,44.254948482,295.3876732326,1448138367.186
37.7734591889,-122.4337553185,37.7716625592,-122.4314824107,42.7484716892,348.1372960753,1448138361.17574
37.7734591889,-122.4314824107,37.7716625592,-122.4292095029,44.5947164767,226.2911172212,1448138360.56971
37.7734591889,-122.4292095029,37.7716625592,-122.4269365951,43.0068288911,294.0007617909,1448138356.48019
37.7734591889,-122.4246636872,37.7716625592,-122.4223907794,48.8047864469,296.1010778343,1448138342.98297
37.7734591889,-122.4223907794,37.7716625592,-122.4201178716,49.0958333215,294.5394947215,1448138341.62434
37.7734591889,-122.4201178716,37.7716625592,-122.4178449638,48.3782301743,290.9923721365,1448138331.55213
37.7734591889,-122.4178449638,37.7716625592,-122.415572056,48.4611531483,291.8671417411,1448138327.71042
37.7734591889,-122.415572056,37.7716625592,-122.4132991481,50.7317392515,304.5566648785,1448138321.18129
37.7734591889,-122.4132991481,37.7716625592,-122.4110262403,50.2349281036,299.3302589808,1448138317.22369
